"X___1","PUMFID","PERSONID","AGEGP","SEX","MARST","PROV","IMMSTP","YRIMMGP","CMPHI","HLEV2G","CFID","CFSIZE","CFMJSI","CFATINC","CFEARNG","EFID","EFSIZE","EFATINC","HHSIZE","FWEIGHT","Province","region","sexe","statut_mat","niveau_educ"
7638,5366,536604,3,2,96,46,6,6,6,6,"5366A01",4,2,60570,53000,"5366A",4,60570,4,316.4479,"Manitoba","Ouest","Femme","Non applicable","Non applicable"
7719,5404,540403,3,1,96,35,6,6,6,6,"5404A01",5,2,119705,127000,"5404A",5,119705,5,611.3947,"Ontario","Ontario","Homme","Non applicable","Non applicable"
7745,5416,541602,10,1,3,12,6,6,1,3,"5416B01",1,2,41550,52500,"5416B",1,41550,2,215.3877,"Nouvelle-<U+00C9>cosse","Atlantique","Homme","S<U+00E9>par<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
7789,5432,543202,16,1,1,24,6,6,2,1,"5432A01",2,4,31950,0,"5432A",2,31950,2,658.7249,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
7800,5437,543703,3,1,96,35,6,6,6,6,"5437A01",4,4,24275,0,"5437A",4,24275,4,275.7205,"Ontario","Ontario","Homme","Non applicable","Non applicable"
7825,5448,544802,7,2,1,35,6,6,1,3,"5448A01",4,2,115235,136500,"5448A",4,115235,4,578.2742,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
7855,5461,546101,16,1,1,12,6,6,1,3,"5461A01",2,6,51835,150,"5461A",2,51835,2,255.0909,"Nouvelle-<U+00C9>cosse","Atlantique","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
7915,5484,548401,10,2,1,13,6,6,1,3,"5484A01",3,3,52885,52600,"5484A",3,52885,3,186.1124,"Nouveau-Brunswick","Atlantique","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
7938,5494,549401,14,1,5,35,6,6,1,3,"5494A01",1,4,11300,0,"5494A",1,11300,1,157.6343,"Ontario","Ontario","Homme","Veuf","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
7947,5499,549903,6,1,6,35,6,6,1,2,"5499A01",3,2,86550,73000,"5499A",3,86550,3,456.6369,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
7985,5514,551401,16,1,5,35,6,6,1,4,"5514A01",1,4,29135,0,"5514A",1,29135,1,525.7469,"Ontario","Ontario","Homme","Veuf","Dipl<U+00F4>me ou certificat universitaire"
7989,5517,551701,16,2,1,13,6,6,1,4,"5517A01",2,6,111900,0,"5517A",2,111900,2,128.3656,"Nouveau-Brunswick","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
7991,5518,551801,14,1,1,35,1,5,1,4,"5518A01",4,2,233120,274000,"5518A",4,233120,4,1955.819,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8000,5522,552201,11,1,4,59,6,6,1,2,"5522A01",1,3,36890,42000,"5522A",1,36890,1,601.4606,"Colombie Britanique","Colombie Britanique","Homme","Divorc<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8007,5524,552404,5,2,6,48,2,6,1,2,"5524A01",3,2,174700,205000,"5524A",4,199000,4,2689.533,"Alberta","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8029,5535,553501,13,1,1,35,6,6,1,2,"5535A01",3,2,120345,79200,"5535A",3,120345,3,138.9326,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8038,5540,554001,10,1,1,46,1,2,1,4,"5540A01",3,2,70175,73500,"5540A",3,70175,3,107.0604,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8068,5552,555203,6,1,6,46,2,6,1,2,"5552A01",4,2,132455,156200,"5552A",4,132455,4,268.4358,"Manitoba","Ouest","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8124,5580,558003,7,1,6,35,1,3,1,4,"5580A01",4,2,94140,98500,"5580A",4,94140,4,2871.81,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8150,5590,559002,14,2,1,24,6,6,1,3,"5590A01",2,5,41455,0,"5590A",2,41455,2,144.5547,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8166,5598,559802,15,2,1,13,6,6,1,4,"5598A01",2,4,81340,26000,"5598A",2,81340,2,285.3396,"Nouveau-Brunswick","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8172,5600,560004,4,1,6,48,2,6,2,1,"5600A01",4,2,75080,62300,"5600A",4,75080,4,2101.946,"Alberta","Ouest","Homme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8196,5608,560801,11,1,1,35,6,6,1,3,"5608A01",2,2,87950,104500,"5608A",2,87950,2,664.5784,"Ontario","Ontario","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8206,5613,561301,7,2,6,12,6,6,1,3,"5613A01",1,2,39390,47000,"5613A",1,39390,1,358.2457,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8207,5614,561401,9,2,2,24,6,6,1,3,"5614A01",4,2,70215,58500,"5614A",4,70215,4,282.6779,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8236,5627,562703,6,1,6,11,6,6,1,2,"5627A01",3,2,62755,36000,"5627A",3,62755,3,102.7478,"Ile du prince Edouard","Atlantique","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8248,5633,563301,10,2,2,24,6,6,1,3,"5633A01",3,4,10325,500,"5633A",3,10325,3,583.5998,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8293,5648,564801,16,2,1,24,2,6,2,1,"5648A01",2,4,31725,0,"5648A",2,31725,2,1737.158,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8303,5652,565201,16,2,1,35,6,6,2,1,"5652A01",2,4,32300,0,"5652A",2,32300,2,341.5407,"Ontario","Ontario","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8380,5687,568701,7,2,1,59,2,6,1,4,"5687A01",2,2,138330,165000,"5687A",2,138330,2,333.7578,"Colombie Britanique","Colombie Britanique","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8385,5689,568901,16,2,5,13,6,6,1,3,"5689A01",1,4,27445,0,"5689A",1,27445,1,190.1818,"Nouveau-Brunswick","Atlantique","Femme","Veuf","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8413,5703,570301,13,1,1,35,6,6,1,4,"5703A01",3,2,200555,248000,"5703A",3,200555,3,471.288,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8418,5706,570601,15,1,1,10,6,6,1,3,"5706A01",2,4,30600,0,"5706A",2,30600,2,256.8399,"Terre-Neuve-et-Labrador","Atlantique","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8429,5710,571005,3,2,96,12,6,6,6,6,"5710A01",6,2,57840,54750,"5710A",6,57840,6,200.1931,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Non applicable","Non applicable"
8433,5711,571103,3,2,96,47,6,6,6,6,"5711A01",3,2,60630,49800,"5711A",3,60630,3,100.0313,"Saskatchewan","Ouest","Femme","Non applicable","Non applicable"
8435,5713,571301,16,2,1,24,6,6,2,2,"5713A01",2,4,34175,225,"5713A",2,34175,2,592.9821,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8439,5715,571502,13,2,1,24,6,6,1,3,"5715A01",2,2,79270,93500,"5715A",2,79270,2,434.0747,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8475,5728,572801,14,2,1,35,1,2,1,4,"5728A01",2,4,22900,6000,"5728A",2,22900,2,1966.703,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8488,5734,573401,14,1,6,13,6,6,1,4,"5734A01",1,2,112485,141000,"5734A",1,112485,1,136.3541,"Nouveau-Brunswick","Atlantique","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8493,5737,573701,8,2,2,24,6,6,1,2,"5737A01",6,2,95535,110000,"5737A",6,95535,6,314.1505,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Conjoint de fait","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8510,5741,574103,6,1,6,35,6,6,2,1,"5741A01",3,2,94700,73000,"5741A",3,94700,3,138.7051,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8520,5745,574501,8,2,6,24,2,6,1,2,"5745A01",2,4,13100,0,"5745A",2,13100,2,942.9733,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8528,5747,574704,1,1,96,46,6,6,6,6,"5747A01",4,2,46350,42000,"5747A",4,46350,4,73.1927,"Manitoba","Ouest","Homme","Non applicable","Non applicable"
8533,5750,575001,13,2,2,35,6,6,1,4,"5750A01",2,2,101845,117525,"5750A",2,101845,2,97.7884,"Ontario","Ontario","Femme","Conjoint de fait","Dipl<U+00F4>me ou certificat universitaire"
8536,5751,575102,12,2,1,48,6,6,1,2,"5751A01",3,2,171215,230000,"5751A",3,171215,3,198.2925,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8537,5751,575103,8,2,99,48,6,6,1,2,"5751A01",3,2,171215,230000,"5751A",3,171215,3,198.2925,"Alberta","Ouest","Femme","Non r<U+00E9>ponse","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8573,5766,576601,16,1,1,24,2,6,2,3,"5766A01",2,4,43100,0,"5766A",2,43100,2,1874.792,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8586,5773,577301,12,2,5,35,6,6,1,2,"5773A01",3,2,43860,25000,"5773A",3,43860,3,503.3772,"Ontario","Ontario","Femme","Veuf","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8600,5778,577801,8,1,6,46,2,6,1,4,"5778A01",1,2,57690,72500,"5778A",1,57690,1,236.2284,"Manitoba","Ouest","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8609,5782,578203,3,1,96,47,6,6,6,6,"5782A01",4,2,84770,57000,"5782A",4,84770,4,431.0724,"Saskatchewan","Ouest","Homme","Non applicable","Non applicable"
8612,5783,578302,6,1,2,24,6,6,1,3,"5783A01",2,2,47880,55000,"5783A",2,47880,2,589.3416,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8626,5790,579001,14,2,1,35,2,6,1,2,"5790A01",2,6,83720,925,"5790A",2,83720,2,1166.935,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8633,5795,579501,8,2,1,35,6,6,2,1,"5795A01",6,2,104110,84700,"5795A",6,104110,6,493.6144,"Ontario","Ontario","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8639,5796,579601,12,1,5,24,6,6,1,3,"5796A01",1,4,19425,0,"5796A",1,19425,1,348.7608,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Veuf","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8656,5801,580101,10,1,6,48,2,6,1,4,"5801A01",1,2,123520,160000,"5801A",2,196975,2,1504.594,"Alberta","Ouest","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8658,5802,580201,8,1,6,11,6,6,1,2,"5802A01",3,2,55985,62500,"5802A",3,55985,3,71.0575,"Ile du prince Edouard","Atlantique","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8680,5811,581101,11,2,1,35,6,6,1,3,"5811A01",5,2,160055,116350,"5811A",5,160055,5,1435.116,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8688,5814,581401,12,2,3,24,6,6,2,1,"5814A01",1,2,17050,14500,"5814A",1,17050,1,220.9128,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","S<U+00E9>par<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8701,5819,581901,7,2,6,48,2,6,1,2,"5819A01",1,2,50550,62500,"5819A",1,50550,1,1578.132,"Alberta","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8704,5822,582201,16,1,1,35,6,6,2,1,"5822A01",2,4,53765,0,"5822A",2,53765,2,195.7175,"Ontario","Ontario","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8718,5827,582701,14,2,1,48,2,6,1,4,"5827A01",2,2,86850,107200,"5827A",2,86850,2,142.7042,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8740,5835,583503,2,1,96,13,6,6,6,6,"5835A01",6,2,340840,268750,"5835A",6,340840,6,184.1886,"Nouveau-Brunswick","Atlantique","Homme","Non applicable","Non applicable"
8752,5840,584002,10,1,1,24,6,6,2,1,"5840A01",7,2,104080,98400,"5840A",7,104080,7,911.7904,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8776,5845,584505,13,1,1,48,6,6,1,2,"5845A02",2,2,196610,290000,"5845A",5,344710,5,374.2658,"Alberta","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8783,5849,584902,2,1,96,46,6,6,6,6,"5849A01",3,2,72465,87500,"5849A",3,72465,3,94.3856,"Manitoba","Ouest","Homme","Non applicable","Non applicable"
8828,5871,587103,6,1,6,11,6,6,1,2,"5871A01",3,2,89415,108500,"5871A",3,89415,3,89.6121,"Ile du prince Edouard","Atlantique","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
8836,5875,587505,5,1,6,35,2,6,2,1,"5875A01",5,2,252930,395700,"5875A",5,252930,5,2379.628,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8847,5881,588101,16,2,5,35,6,6,2,1,"5881A01",1,4,29275,0,"5881A",1,29275,1,548.8017,"Ontario","Ontario","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
8859,5886,588603,15,1,1,12,6,6,1,4,"5886A01",3,6,103170,15000,"5886A",3,103170,3,212.3992,"Nouvelle-<U+00C9>cosse","Atlantique","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
8877,5895,589502,7,2,6,48,2,6,1,3,"5895B01",1,2,39935,45000,"5895B",1,39935,2,1184.604,"Alberta","Ouest","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8888,5902,590201,13,2,1,35,6,6,1,3,"5902A01",2,2,81970,77000,"5902A",2,81970,2,498.5821,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8924,5917,591705,6,2,6,13,6,6,1,3,"5917B01",1,2,15975,15000,"5917B",1,15975,5,622.367,"Nouveau-Brunswick","Atlantique","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
8965,5933,593304,4,1,6,46,2,6,2,1,"5933A01",5,2,105650,110100,"5933A",5,105650,6,473.5286,"Manitoba","Ouest","Homme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
9004,5949,594901,10,2,1,48,1,2,2,3,"5949A01",5,2,68935,63500,"5949A",5,68935,5,501.7141,"Alberta","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9064,5976,597602,8,2,2,24,2,6,1,3,"5976A01",4,2,98995,110000,"5976A",4,98995,4,709.7073,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9071,5979,597901,15,2,5,46,6,6,1,2,"5979A01",1,4,29670,0,"5979A",1,29670,1,248.7656,"Manitoba","Ouest","Femme","Veuf","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9137,6003,600303,3,2,96,59,6,6,6,6,"6003A01",4,2,92355,109500,"6003A",4,92355,4,240.2955,"Colombie Britanique","Colombie Britanique","Femme","Non applicable","Non applicable"
9185,6020,602002,11,2,1,59,6,6,1,2,"6020A01",2,5,203450,125000,"6020A",2,203450,2,1118.494,"Colombie Britanique","Colombie Britanique","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9206,6031,603101,16,1,1,24,2,6,1,4,"6031A01",2,6,62835,275,"6031A",2,62835,2,1470.007,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
9229,6039,603906,2,2,96,46,6,6,6,6,"6039A02",4,2,81815,96500,"6039A",6,156685,6,185.8971,"Manitoba","Ouest","Femme","Non applicable","Non applicable"
9243,6045,604502,5,1,6,47,6,6,2,1,"6045A01",3,2,92765,94000,"6045A",3,92765,3,29.1338,"Saskatchewan","Ouest","Homme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
9266,6056,605601,11,1,1,48,6,6,1,3,"6056A01",4,2,150040,176550,"6056A",4,150040,4,237.2556,"Alberta","Ouest","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9294,6066,606602,11,1,1,35,6,6,1,4,"6066A01",4,2,85620,97000,"6066A",4,85620,4,740.9893,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
9301,6069,606901,6,2,6,46,1,1,1,2,"6069A01",6,2,100465,108575,"6069A",6,100465,6,311.4057,"Manitoba","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9302,6069,606902,11,2,1,46,1,1,1,4,"6069A01",6,2,100465,108575,"6069A",6,100465,6,311.4057,"Manitoba","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
9375,6099,609903,3,2,96,12,6,6,6,6,"6099A01",4,2,39825,20000,"6099A",4,39825,4,101.8414,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Non applicable","Non applicable"
9381,6101,610103,3,1,96,10,6,6,6,6,"6101A01",4,2,81475,94000,"6101A",4,81475,4,258.28,"Terre-Neuve-et-Labrador","Atlantique","Homme","Non applicable","Non applicable"
9382,6101,610104,3,2,96,10,6,6,6,6,"6101A01",4,2,81475,94000,"6101A",4,81475,4,258.28,"Terre-Neuve-et-Labrador","Atlantique","Femme","Non applicable","Non applicable"
9426,6127,612701,15,1,1,46,2,6,1,2,"6127A01",2,2,64520,44000,"6127A",2,64520,2,230.056,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9446,6137,613701,11,1,99,35,6,6,1,3,"6137A01",1,4,15000,0,"6137A",1,15000,2,1924.819,"Ontario","Ontario","Homme","Non r<U+00E9>ponse","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9450,6139,613902,8,2,1,35,2,6,1,4,"6139A01",3,2,81685,83000,"6139A",3,81685,3,797.3001,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
9493,6158,615802,15,1,2,24,2,6,2,1,"6158A01",2,2,54145,51000,"6158A",2,54145,2,1638.652,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Conjoint de fait","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
9494,6159,615901,16,2,1,59,6,6,1,2,"6159A01",2,4,51735,0,"6159A",2,51735,2,471.341,"Colombie Britanique","Colombie Britanique","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9514,6168,616801,6,2,2,48,6,6,1,3,"6168A01",2,2,113610,146000,"6168A",2,113610,2,121.1795,"Alberta","Ouest","Femme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9542,6178,617801,9,1,1,46,1,1,1,4,"6178A01",5,2,31875,21000,"6178A",5,31875,5,136.4608,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
9550,6179,617904,3,1,96,35,6,6,6,6,"6179A01",4,2,101400,102000,"6179A",4,101400,4,479.8178,"Ontario","Ontario","Homme","Non applicable","Non applicable"
9582,6193,619301,13,2,1,46,6,6,1,3,"6193A01",3,2,83295,86900,"6193A",3,83295,3,89.6326,"Manitoba","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9601,6200,620002,12,2,1,12,6,6,1,2,"6200A01",4,3,134910,148000,"6200A",4,134910,4,767.2888,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9606,6202,620201,7,2,6,35,6,6,1,3,"6202A01",1,2,32990,37000,"6202A",1,32990,1,1112.169,"Ontario","Ontario","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9614,6207,620701,16,2,5,59,6,6,1,2,"6207A01",1,4,19425,0,"6207A",1,19425,1,141.3568,"Colombie Britanique","Colombie Britanique","Femme","Veuf","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9627,6212,621205,1,1,96,35,6,6,6,6,"6212A01",6,2,54830,28900,"6212A",6,54830,6,387.8685,"Ontario","Ontario","Homme","Non applicable","Non applicable"
9629,6213,621301,16,2,5,46,6,6,2,1,"6213A01",1,4,21825,0,"6213A",1,21825,1,73.3142,"Manitoba","Ouest","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
9663,6224,622404,1,2,96,24,6,6,6,6,"6224A01",4,2,33800,21000,"6224A",4,33800,4,793.8139,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non applicable","Non applicable"
9665,6225,622502,14,1,1,24,6,6,1,2,"6225A01",2,2,51170,45500,"6225A",2,51170,2,169.0258,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9671,6228,622803,12,1,4,35,1,5,1,3,"6228A01",3,2,95875,75275,"6228A",3,95875,3,1472.978,"Ontario","Ontario","Homme","Divorc<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9696,6239,623907,1,1,96,46,6,6,6,6,"6239A01",7,4,31050,0,"6239A",7,31050,7,211.4011,"Manitoba","Ouest","Homme","Non applicable","Non applicable"
9704,6242,624201,15,2,1,24,6,6,2,1,"6242A01",2,4,38770,0,"6242A",2,38770,2,660.1445,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
9711,6246,624601,12,2,6,10,6,6,1,2,"6246A01",1,4,11025,0,"6246A",1,11025,1,273.727,"Terre-Neuve-et-Labrador","Atlantique","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9747,6265,626501,15,2,1,48,2,6,1,3,"6265A01",2,6,87700,20000,"6265A",2,87700,2,451.7508,"Alberta","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
9752,6267,626702,1,1,96,59,6,6,6,6,"6267A01",2,2,107380,135000,"6267A",2,107380,2,241.3453,"Colombie Britanique","Colombie Britanique","Homme","Non applicable","Non applicable"
9758,6271,627101,10,2,1,48,1,1,9,9,"6271A01",5,2,90470,93850,"6271A",6,116520,6,3106.984,"Alberta","Ouest","Femme","Mari<U+00E9>","Non r<U+00E9>ponse"
9759,6271,627102,10,1,1,48,1,1,1,2,"6271A01",5,2,90470,93850,"6271A",6,116520,6,3106.984,"Alberta","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9767,6274,627401,10,2,1,35,2,6,1,4,"6274A01",3,2,193730,255450,"6274A",3,193730,3,956.4009,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
9834,6305,630503,9,1,1,35,1,3,1,4,"6305A02",4,2,137775,172000,"6305A",6,302375,6,4298.02,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
9856,6315,631503,10,1,6,35,6,6,1,2,"6315A01",3,2,91570,57525,"6315A",3,91570,3,550.0521,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
9866,6319,631901,16,1,1,59,6,6,1,2,"6319A01",2,4,36550,2200,"6319A",2,36550,2,517.1696,"Colombie Britanique","Colombie Britanique","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
