year,quarter,location,type,persons
1991,4,Ontario,in-migration,14643
1992,1,Ontario,in-migration,11711
1992,2,Ontario,in-migration,17530
1992,3,Ontario,in-migration,25116
1992,4,Ontario,in-migration,13633
1993,1,Ontario,in-migration,10930
1993,2,Ontario,in-migration,16706
1993,3,Ontario,in-migration,22823
1993,4,Ontario,in-migration,11856
1994,1,Ontario,in-migration,12391
1994,2,Ontario,in-migration,17555
1994,3,Ontario,in-migration,22933
1994,4,Ontario,in-migration,13129
1995,1,Ontario,in-migration,12969
1995,2,Ontario,in-migration,17871
1995,3,Ontario,in-migration,24040
1995,4,Ontario,in-migration,13620
1996,1,Ontario,in-migration,13423
1996,2,Ontario,in-migration,17976
1996,3,Ontario,in-migration,23250
1996,4,Ontario,in-migration,12336
1997,1,Ontario,in-migration,14316
1997,2,Ontario,in-migration,20076
1997,3,Ontario,in-migration,25697
1997,4,Ontario,in-migration,11044
1998,1,Ontario,in-migration,16785
1998,2,Ontario,in-migration,21690
1998,3,Ontario,in-migration,22435
1998,4,Ontario,in-migration,12512
1999,1,Ontario,in-migration,15384
1999,2,Ontario,in-migration,22490
1999,3,Ontario,in-migration,23946
1999,4,Ontario,in-migration,12414
2000,1,Ontario,in-migration,18609
2000,2,Ontario,in-migration,23934
2000,3,Ontario,in-migration,25327
2000,4,Ontario,in-migration,13227
2001,1,Ontario,in-migration,15176
2001,2,Ontario,in-migration,20786
2001,3,Ontario,in-migration,22560
2001,4,Ontario,in-migration,11177
2002,1,Ontario,in-migration,14788
2002,2,Ontario,in-migration,21558
2002,3,Ontario,in-migration,22142
2002,4,Ontario,in-migration,10617
2003,1,Ontario,in-migration,12584
2003,2,Ontario,in-migration,18893
2003,3,Ontario,in-migration,17999
2003,4,Ontario,in-migration,9243
2004,1,Ontario,in-migration,12439
2004,2,Ontario,in-migration,17505
2004,3,Ontario,in-migration,16991
2004,4,Ontario,in-migration,10584
2005,1,Ontario,in-migration,12285
2005,2,Ontario,in-migration,19632
2005,3,Ontario,in-migration,18236
2005,4,Ontario,in-migration,9108
2006,1,Ontario,in-migration,12125
2006,2,Ontario,in-migration,16279
2006,3,Ontario,in-migration,19382
2006,4,Ontario,in-migration,11460
2007,1,Ontario,in-migration,12144
2007,2,Ontario,in-migration,15805
2007,3,Ontario,in-migration,20760
2007,4,Ontario,in-migration,10797
2008,1,Ontario,in-migration,12655
2008,2,Ontario,in-migration,17506
2008,3,Ontario,in-migration,20001
2008,4,Ontario,in-migration,9541
2009,1,Ontario,in-migration,12767
2009,2,Ontario,in-migration,15149
2009,3,Ontario,in-migration,18343
2009,4,Ontario,in-migration,10431
2010,1,Ontario,in-migration,13444
2010,2,Ontario,in-migration,17523
2010,3,Ontario,in-migration,18920
2010,4,Ontario,in-migration,11178
2011,1,Ontario,in-migration,12362
2011,2,Ontario,in-migration,15857
2011,3,Ontario,in-migration,21751
2011,4,Ontario,in-migration,11722
2012,1,Ontario,in-migration,13990
2012,2,Ontario,in-migration,18469
2012,3,Ontario,in-migration,18837
2012,4,Ontario,in-migration,10365
2013,1,Ontario,in-migration,11865
2013,2,Ontario,in-migration,20640
2013,3,Ontario,in-migration,19031
2013,4,Ontario,in-migration,12002
2014,1,Ontario,in-migration,12726
2014,2,Ontario,in-migration,20079
2014,3,Ontario,in-migration,19289
2014,4,Ontario,in-migration,11332
2015,1,Ontario,in-migration,15075
2015,2,Ontario,in-migration,24225
2015,3,Ontario,in-migration,23363
2015,4,Ontario,in-migration,11738
2016,1,Ontario,in-migration,16649
2016,2,Ontario,in-migration,26128
2016,3,Ontario,in-migration,29718
2016,4,Ontario,in-migration,13495
2017,1,Ontario,in-migration,18871
2017,2,Ontario,in-migration,29045
1961,3,Manitoba,in-migration,8640
1961,4,Manitoba,in-migration,7651
1962,1,Manitoba,in-migration,5007
1962,2,Manitoba,in-migration,4824
1962,3,Manitoba,in-migration,7993
1962,4,Manitoba,in-migration,8309
1963,1,Manitoba,in-migration,4883
1963,2,Manitoba,in-migration,5614
1963,3,Manitoba,in-migration,8544
1963,4,Manitoba,in-migration,7010
1964,1,Manitoba,in-migration,5148
1964,2,Manitoba,in-migration,5023
1964,3,Manitoba,in-migration,8991
1964,4,Manitoba,in-migration,7237
1965,1,Manitoba,in-migration,5290
1965,2,Manitoba,in-migration,4519
1965,3,Manitoba,in-migration,9014
1965,4,Manitoba,in-migration,8598
1966,1,Manitoba,in-migration,5071
1966,2,Manitoba,in-migration,4628
1966,3,Manitoba,in-migration,8995
1966,4,Manitoba,in-migration,9063
1967,1,Manitoba,in-migration,5887
1967,2,Manitoba,in-migration,5389
1967,3,Manitoba,in-migration,9352
1967,4,Manitoba,in-migration,8506
1968,1,Manitoba,in-migration,5644
1968,2,Manitoba,in-migration,5447
1968,3,Manitoba,in-migration,6737
1968,4,Manitoba,in-migration,9086
1969,1,Manitoba,in-migration,5823
1969,2,Manitoba,in-migration,5105
1969,3,Manitoba,in-migration,8034
1969,4,Manitoba,in-migration,8123
1970,1,Manitoba,in-migration,6523
1970,2,Manitoba,in-migration,4991
1970,3,Manitoba,in-migration,7029
1970,4,Manitoba,in-migration,10006
1971,1,Manitoba,in-migration,6092
1971,2,Manitoba,in-migration,5175
1971,3,Manitoba,in-migration,8794
1971,4,Manitoba,in-migration,7354
1972,1,Manitoba,in-migration,5350
1972,2,Manitoba,in-migration,4519
1972,3,Manitoba,in-migration,8205
1972,4,Manitoba,in-migration,8035
1973,1,Manitoba,in-migration,7529
1973,2,Manitoba,in-migration,5672
1973,3,Manitoba,in-migration,9931
1973,4,Manitoba,in-migration,10648
1974,1,Manitoba,in-migration,6658
1974,2,Manitoba,in-migration,6250
1974,3,Manitoba,in-migration,9262
1974,4,Manitoba,in-migration,8026
1975,1,Manitoba,in-migration,6859
1975,2,Manitoba,in-migration,5461
1975,3,Manitoba,in-migration,8240
1975,4,Manitoba,in-migration,7822
1976,1,Manitoba,in-migration,5402
1976,2,Manitoba,in-migration,4892
1976,3,Manitoba,in-migration,9477
1976,4,Manitoba,in-migration,4610
1977,1,Manitoba,in-migration,3800
1977,2,Manitoba,in-migration,4977
1977,3,Manitoba,in-migration,8627
1977,4,Manitoba,in-migration,4164
1978,1,Manitoba,in-migration,3455
1978,2,Manitoba,in-migration,4515
1978,3,Manitoba,in-migration,7811
1978,4,Manitoba,in-migration,3757
1979,1,Manitoba,in-migration,3120
1979,2,Manitoba,in-migration,4086
1979,3,Manitoba,in-migration,7732
1979,4,Manitoba,in-migration,3753
1980,1,Manitoba,in-migration,3129
1980,2,Manitoba,in-migration,4076
1980,3,Manitoba,in-migration,8385
1980,4,Manitoba,in-migration,4143
1981,1,Manitoba,in-migration,3460
1981,2,Manitoba,in-migration,4480
1981,3,Manitoba,in-migration,8472
1981,4,Manitoba,in-migration,4608
1982,1,Manitoba,in-migration,3750
1982,2,Manitoba,in-migration,4771
1982,3,Manitoba,in-migration,8347
1982,4,Manitoba,in-migration,3919
1983,1,Manitoba,in-migration,3311
1983,2,Manitoba,in-migration,4877
1983,3,Manitoba,in-migration,7639
1983,4,Manitoba,in-migration,3566
1984,1,Manitoba,in-migration,3035
1984,2,Manitoba,in-migration,3491
1984,3,Manitoba,in-migration,6484
1984,4,Manitoba,in-migration,4519
1985,1,Manitoba,in-migration,2961
1985,2,Manitoba,in-migration,3018
1985,3,Manitoba,in-migration,6564
1985,4,Manitoba,in-migration,4600
1986,1,Manitoba,in-migration,3023
1986,2,Manitoba,in-migration,3123
1986,3,Manitoba,in-migration,6628
1986,4,Manitoba,in-migration,4795
1987,1,Manitoba,in-migration,3410
1987,2,Manitoba,in-migration,3011
1987,3,Manitoba,in-migration,6724
1987,4,Manitoba,in-migration,4996
1988,1,Manitoba,in-migration,3079
1988,2,Manitoba,in-migration,2767
1988,3,Manitoba,in-migration,5841
1988,4,Manitoba,in-migration,4358
1989,1,Manitoba,in-migration,2867
1989,2,Manitoba,in-migration,3018
1989,3,Manitoba,in-migration,6056
1989,4,Manitoba,in-migration,4520
1990,1,Manitoba,in-migration,2961
1990,2,Manitoba,in-migration,3893
1990,3,Manitoba,in-migration,6708
1990,4,Manitoba,in-migration,3180
1991,1,Manitoba,in-migration,2691
1991,2,Manitoba,in-migration,3862
1991,3,Manitoba,in-migration,6493
1991,4,Manitoba,in-migration,2929
1992,1,Manitoba,in-migration,2589
1992,2,Manitoba,in-migration,3944
1992,3,Manitoba,in-migration,6459
1992,4,Manitoba,in-migration,2931
1993,1,Manitoba,in-migration,2607
1993,2,Manitoba,in-migration,3851
1993,3,Manitoba,in-migration,5417
1993,4,Manitoba,in-migration,2719
1994,1,Manitoba,in-migration,2827
1994,2,Manitoba,in-migration,4290
1994,3,Manitoba,in-migration,5263
1994,4,Manitoba,in-migration,2986
1995,1,Manitoba,in-migration,3430
1995,2,Manitoba,in-migration,4211
1995,3,Manitoba,in-migration,5040
1995,4,Manitoba,in-migration,2832
1996,1,Manitoba,in-migration,3144
1996,2,Manitoba,in-migration,4059
1996,3,Manitoba,in-migration,4812
1996,4,Manitoba,in-migration,2346
1997,1,Manitoba,in-migration,3326
1997,2,Manitoba,in-migration,3399
1997,3,Manitoba,in-migration,4519
1997,4,Manitoba,in-migration,1926
1998,1,Manitoba,in-migration,3905
1998,2,Manitoba,in-migration,4556
1998,3,Manitoba,in-migration,4445
1998,4,Manitoba,in-migration,2417
1999,1,Manitoba,in-migration,3320
1999,2,Manitoba,in-migration,3803
1999,3,Manitoba,in-migration,4563
1999,4,Manitoba,in-migration,2325
2000,1,Manitoba,in-migration,3549
2000,2,Manitoba,in-migration,3638
2000,3,Manitoba,in-migration,4254
2000,4,Manitoba,in-migration,2289
2001,1,Manitoba,in-migration,2810
2001,2,Manitoba,in-migration,3270
2001,3,Manitoba,in-migration,4398
2001,4,Manitoba,in-migration,2482
2002,1,Manitoba,in-migration,3065
2002,2,Manitoba,in-migration,4015
2002,3,Manitoba,in-migration,4073
2002,4,Manitoba,in-migration,2396
2003,1,Manitoba,in-migration,3256
2003,2,Manitoba,in-migration,3982
2003,3,Manitoba,in-migration,3841
2003,4,Manitoba,in-migration,2211
2004,1,Manitoba,in-migration,3252
2004,2,Manitoba,in-migration,3997
2004,3,Manitoba,in-migration,3683
2004,4,Manitoba,in-migration,2408
2005,1,Manitoba,in-migration,2898
2005,2,Manitoba,in-migration,3191
2005,3,Manitoba,in-migration,3712
2005,4,Manitoba,in-migration,1794
2006,1,Manitoba,in-migration,2788
2006,2,Manitoba,in-migration,3150
2006,3,Manitoba,in-migration,4042
2006,4,Manitoba,in-migration,2659
2007,1,Manitoba,in-migration,2850
2007,2,Manitoba,in-migration,2939
2007,3,Manitoba,in-migration,4269
2007,4,Manitoba,in-migration,2385
2008,1,Manitoba,in-migration,2827
2008,2,Manitoba,in-migration,3230
2008,3,Manitoba,in-migration,3725
2008,4,Manitoba,in-migration,2427
2009,1,Manitoba,in-migration,2822
2009,2,Manitoba,in-migration,2942
2009,3,Manitoba,in-migration,3384
2009,4,Manitoba,in-migration,1946
2010,1,Manitoba,in-migration,3088
2010,2,Manitoba,in-migration,3368
2010,3,Manitoba,in-migration,3112
2010,4,Manitoba,in-migration,2367
2011,1,Manitoba,in-migration,2713
2011,2,Manitoba,in-migration,2893
2011,3,Manitoba,in-migration,3637
2011,4,Manitoba,in-migration,2267
2012,1,Manitoba,in-migration,2801
2012,2,Manitoba,in-migration,3932
2012,3,Manitoba,in-migration,3389
2012,4,Manitoba,in-migration,1975
2013,1,Manitoba,in-migration,2663
2013,2,Manitoba,in-migration,3488
2013,3,Manitoba,in-migration,3035
2013,4,Manitoba,in-migration,1782
2014,1,Manitoba,in-migration,2367
2014,2,Manitoba,in-migration,3551
2014,3,Manitoba,in-migration,2651
2014,4,Manitoba,in-migration,1726
2015,1,Manitoba,in-migration,2922
2015,2,Manitoba,in-migration,4364
2015,3,Manitoba,in-migration,3523
2015,4,Manitoba,in-migration,1965
2016,1,Manitoba,in-migration,3166
2016,2,Manitoba,in-migration,3824
2016,3,Manitoba,in-migration,2920
2016,4,Manitoba,in-migration,1897
2017,1,Manitoba,in-migration,3013
2017,2,Manitoba,in-migration,4015
1961,3,Saskatchewan,in-migration,6564
1961,4,Saskatchewan,in-migration,4852
1962,1,Saskatchewan,in-migration,3908
1962,2,Saskatchewan,in-migration,4257
1962,3,Saskatchewan,in-migration,5834
1962,4,Saskatchewan,in-migration,6035
1963,1,Saskatchewan,in-migration,4793
1963,2,Saskatchewan,in-migration,5144
1963,3,Saskatchewan,in-migration,6777
1963,4,Saskatchewan,in-migration,6484
1964,1,Saskatchewan,in-migration,4974
1964,2,Saskatchewan,in-migration,5247
1964,3,Saskatchewan,in-migration,7744
1964,4,Saskatchewan,in-migration,6594
1965,1,Saskatchewan,in-migration,5246
1965,2,Saskatchewan,in-migration,5121
1965,3,Saskatchewan,in-migration,7869
1965,4,Saskatchewan,in-migration,7030
1966,1,Saskatchewan,in-migration,5048
1966,2,Saskatchewan,in-migration,5015
1966,3,Saskatchewan,in-migration,8306
1966,4,Saskatchewan,in-migration,7308
1967,1,Saskatchewan,in-migration,4659
1967,2,Saskatchewan,in-migration,5191
1967,3,Saskatchewan,in-migration,7907
1967,4,Saskatchewan,in-migration,7473
1968,1,Saskatchewan,in-migration,5398
1968,2,Saskatchewan,in-migration,5258
1968,3,Saskatchewan,in-migration,5851
1968,4,Saskatchewan,in-migration,7270
1969,1,Saskatchewan,in-migration,4244
1969,2,Saskatchewan,in-migration,4150
1969,3,Saskatchewan,in-migration,6242
1969,4,Saskatchewan,in-migration,5684
1970,1,Saskatchewan,in-migration,4280
1970,2,Saskatchewan,in-migration,3736
1970,3,Saskatchewan,in-migration,5053
1970,4,Saskatchewan,in-migration,6236
1971,1,Saskatchewan,in-migration,4567
1971,2,Saskatchewan,in-migration,4614
1971,3,Saskatchewan,in-migration,6787
1971,4,Saskatchewan,in-migration,5257
1972,1,Saskatchewan,in-migration,4012
1972,2,Saskatchewan,in-migration,3775
1972,3,Saskatchewan,in-migration,6192
1972,4,Saskatchewan,in-migration,5509
1973,1,Saskatchewan,in-migration,4851
1973,2,Saskatchewan,in-migration,4615
1973,3,Saskatchewan,in-migration,7718
1973,4,Saskatchewan,in-migration,8996
1974,1,Saskatchewan,in-migration,5286
1974,2,Saskatchewan,in-migration,5887
1974,3,Saskatchewan,in-migration,8536
1974,4,Saskatchewan,in-migration,8292
1975,1,Saskatchewan,in-migration,6490
1975,2,Saskatchewan,in-migration,6379
1975,3,Saskatchewan,in-migration,8798
1975,4,Saskatchewan,in-migration,8316
1976,1,Saskatchewan,in-migration,5769
1976,2,Saskatchewan,in-migration,5416
1976,3,Saskatchewan,in-migration,9948
1976,4,Saskatchewan,in-migration,4661
1977,1,Saskatchewan,in-migration,4065
1977,2,Saskatchewan,in-migration,5384
1977,3,Saskatchewan,in-migration,8645
1977,4,Saskatchewan,in-migration,4033
1978,1,Saskatchewan,in-migration,3533
1978,2,Saskatchewan,in-migration,4664
1978,3,Saskatchewan,in-migration,8508
1978,4,Saskatchewan,in-migration,3967
1979,1,Saskatchewan,in-migration,3483
1979,2,Saskatchewan,in-migration,4570
1979,3,Saskatchewan,in-migration,8406
1979,4,Saskatchewan,in-migration,3917
1980,1,Saskatchewan,in-migration,3451
1980,2,Saskatchewan,in-migration,4519
1980,3,Saskatchewan,in-migration,9073
1980,4,Saskatchewan,in-migration,4236
1981,1,Saskatchewan,in-migration,3710
1981,2,Saskatchewan,in-migration,4905
1981,3,Saskatchewan,in-migration,8940
1981,4,Saskatchewan,in-migration,4512
1982,1,Saskatchewan,in-migration,3612
1982,2,Saskatchewan,in-migration,4744
1982,3,Saskatchewan,in-migration,8613
1982,4,Saskatchewan,in-migration,3922
1983,1,Saskatchewan,in-migration,3600
1983,2,Saskatchewan,in-migration,4946
1983,3,Saskatchewan,in-migration,7734
1983,4,Saskatchewan,in-migration,3569
1984,1,Saskatchewan,in-migration,3293
1984,2,Saskatchewan,in-migration,4305
1984,3,Saskatchewan,in-migration,6558
1984,4,Saskatchewan,in-migration,3369
1985,1,Saskatchewan,in-migration,2681
1985,2,Saskatchewan,in-migration,3780
1985,3,Saskatchewan,in-migration,6296
1985,4,Saskatchewan,in-migration,3217
1986,1,Saskatchewan,in-migration,2545
1986,2,Saskatchewan,in-migration,3433
1986,3,Saskatchewan,in-migration,6442
1986,4,Saskatchewan,in-migration,3388
1987,1,Saskatchewan,in-migration,3093
1987,2,Saskatchewan,in-migration,3799
1987,3,Saskatchewan,in-migration,6156
1987,4,Saskatchewan,in-migration,2843
1988,1,Saskatchewan,in-migration,2351
1988,2,Saskatchewan,in-migration,3183
1988,3,Saskatchewan,in-migration,5587
1988,4,Saskatchewan,in-migration,2557
1989,1,Saskatchewan,in-migration,2517
1989,2,Saskatchewan,in-migration,3362
1989,3,Saskatchewan,in-migration,6247
1989,4,Saskatchewan,in-migration,2861
1990,1,Saskatchewan,in-migration,2814
1990,2,Saskatchewan,in-migration,3887
1990,3,Saskatchewan,in-migration,6045
1990,4,Saskatchewan,in-migration,3320
1991,1,Saskatchewan,in-migration,3019
1991,2,Saskatchewan,in-migration,3933
1991,3,Saskatchewan,in-migration,6524
1991,4,Saskatchewan,in-migration,3759
1992,1,Saskatchewan,in-migration,3255
1992,2,Saskatchewan,in-migration,4258
1992,3,Saskatchewan,in-migration,6234
1992,4,Saskatchewan,in-migration,3596
1993,1,Saskatchewan,in-migration,3132
1993,2,Saskatchewan,in-migration,4296
1993,3,Saskatchewan,in-migration,5577
1993,4,Saskatchewan,in-migration,3290
1994,1,Saskatchewan,in-migration,3075
1994,2,Saskatchewan,in-migration,4886
1994,3,Saskatchewan,in-migration,5580
1994,4,Saskatchewan,in-migration,3339
1995,1,Saskatchewan,in-migration,3149
1995,2,Saskatchewan,in-migration,4746
1995,3,Saskatchewan,in-migration,5678
1995,4,Saskatchewan,in-migration,3359
1996,1,Saskatchewan,in-migration,3718
1996,2,Saskatchewan,in-migration,4656
1996,3,Saskatchewan,in-migration,5401
1996,4,Saskatchewan,in-migration,3007
1997,1,Saskatchewan,in-migration,3484
1997,2,Saskatchewan,in-migration,4879
1997,3,Saskatchewan,in-migration,5459
1997,4,Saskatchewan,in-migration,2868
1998,1,Saskatchewan,in-migration,4219
1998,2,Saskatchewan,in-migration,6151
1998,3,Saskatchewan,in-migration,5328
1998,4,Saskatchewan,in-migration,3038
1999,1,Saskatchewan,in-migration,2899
1999,2,Saskatchewan,in-migration,3935
1999,3,Saskatchewan,in-migration,4715
1999,4,Saskatchewan,in-migration,2379
2000,1,Saskatchewan,in-migration,3070
2000,2,Saskatchewan,in-migration,4392
2000,3,Saskatchewan,in-migration,4698
2000,4,Saskatchewan,in-migration,2394
2001,1,Saskatchewan,in-migration,2594
2001,2,Saskatchewan,in-migration,3299
2001,3,Saskatchewan,in-migration,4622
2001,4,Saskatchewan,in-migration,2713
2002,1,Saskatchewan,in-migration,2905
2002,2,Saskatchewan,in-migration,4358
2002,3,Saskatchewan,in-migration,4739
2002,4,Saskatchewan,in-migration,2657
2003,1,Saskatchewan,in-migration,2771
2003,2,Saskatchewan,in-migration,5005
2003,3,Saskatchewan,in-migration,4434
2003,4,Saskatchewan,in-migration,2395
2004,1,Saskatchewan,in-migration,3316
2004,2,Saskatchewan,in-migration,4406
2004,3,Saskatchewan,in-migration,4034
2004,4,Saskatchewan,in-migration,2436
2005,1,Saskatchewan,in-migration,2999
2005,2,Saskatchewan,in-migration,3962
2005,3,Saskatchewan,in-migration,4589
2005,4,Saskatchewan,in-migration,2253
2006,1,Saskatchewan,in-migration,2998
2006,2,Saskatchewan,in-migration,3895
2006,3,Saskatchewan,in-migration,5230
2006,4,Saskatchewan,in-migration,4045
2007,1,Saskatchewan,in-migration,4147
2007,2,Saskatchewan,in-migration,5615
2007,3,Saskatchewan,in-migration,7000
2007,4,Saskatchewan,in-migration,3920
2008,1,Saskatchewan,in-migration,4293
2008,2,Saskatchewan,in-migration,4984
2008,3,Saskatchewan,in-migration,5939
2008,4,Saskatchewan,in-migration,3368
2009,1,Saskatchewan,in-migration,4321
2009,2,Saskatchewan,in-migration,4499
2009,3,Saskatchewan,in-migration,4901
2009,4,Saskatchewan,in-migration,3061
2010,1,Saskatchewan,in-migration,4363
2010,2,Saskatchewan,in-migration,4912
2010,3,Saskatchewan,in-migration,4705
2010,4,Saskatchewan,in-migration,3098
2011,1,Saskatchewan,in-migration,3706
2011,2,Saskatchewan,in-migration,5093
2011,3,Saskatchewan,in-migration,5895
2011,4,Saskatchewan,in-migration,3990
2012,1,Saskatchewan,in-migration,4643
2012,2,Saskatchewan,in-migration,7094
2012,3,Saskatchewan,in-migration,5787
2012,4,Saskatchewan,in-migration,3051
2013,1,Saskatchewan,in-migration,3868
2013,2,Saskatchewan,in-migration,6620
2013,3,Saskatchewan,in-migration,4970
2013,4,Saskatchewan,in-migration,3131
2014,1,Saskatchewan,in-migration,4499
2014,2,Saskatchewan,in-migration,6229
2014,3,Saskatchewan,in-migration,4318
2014,4,Saskatchewan,in-migration,3109
2015,1,Saskatchewan,in-migration,4450
2015,2,Saskatchewan,in-migration,6199
2015,3,Saskatchewan,in-migration,4777
2015,4,Saskatchewan,in-migration,2996
2016,1,Saskatchewan,in-migration,4259
2016,2,Saskatchewan,in-migration,5369
2016,3,Saskatchewan,in-migration,4565
2016,4,Saskatchewan,in-migration,2767
2017,1,Saskatchewan,in-migration,4265
2017,2,Saskatchewan,in-migration,5909
1961,3,Alberta,in-migration,13124
1961,4,Alberta,in-migration,13919
1962,1,Alberta,in-migration,8785
1962,2,Alberta,in-migration,9268
1962,3,Alberta,in-migration,14727
1962,4,Alberta,in-migration,14241
1963,1,Alberta,in-migration,8678
1963,2,Alberta,in-migration,9416
1963,3,Alberta,in-migration,13393
1963,4,Alberta,in-migration,12400
1964,1,Alberta,in-migration,8989
1964,2,Alberta,in-migration,8556
1964,3,Alberta,in-migration,13753
1964,4,Alberta,in-migration,13430
1965,1,Alberta,in-migration,8920
1965,2,Alberta,in-migration,9155
1965,3,Alberta,in-migration,14203
1965,4,Alberta,in-migration,14115
1966,1,Alberta,in-migration,9803
1966,2,Alberta,in-migration,8970
1966,3,Alberta,in-migration,16976
1966,4,Alberta,in-migration,16881
1967,1,Alberta,in-migration,11021
1967,2,Alberta,in-migration,10844
1967,3,Alberta,in-migration,17061
1967,4,Alberta,in-migration,16672
1968,1,Alberta,in-migration,10948
1968,2,Alberta,in-migration,10477
1968,3,Alberta,in-migration,13697
1968,4,Alberta,in-migration,20058
1969,1,Alberta,in-migration,10473
1969,2,Alberta,in-migration,11122
1969,3,Alberta,in-migration,18481
1969,4,Alberta,in-migration,18091
1970,1,Alberta,in-migration,15101
1970,2,Alberta,in-migration,10218
1970,3,Alberta,in-migration,17013
1970,4,Alberta,in-migration,20215
1971,1,Alberta,in-migration,12690
1971,2,Alberta,in-migration,9703
1971,3,Alberta,in-migration,21430
1971,4,Alberta,in-migration,16438
1972,1,Alberta,in-migration,12484
1972,2,Alberta,in-migration,10979
1972,3,Alberta,in-migration,19606
1972,4,Alberta,in-migration,17460
1973,1,Alberta,in-migration,14508
1973,2,Alberta,in-migration,11955
1973,3,Alberta,in-migration,23865
1973,4,Alberta,in-migration,20169
1974,1,Alberta,in-migration,14382
1974,2,Alberta,in-migration,14667
1974,3,Alberta,in-migration,24041
1974,4,Alberta,in-migration,22331
1975,1,Alberta,in-migration,18200
1975,2,Alberta,in-migration,14503
1975,3,Alberta,in-migration,22628
1975,4,Alberta,in-migration,21364
1976,1,Alberta,in-migration,16895
1976,2,Alberta,in-migration,16934
1976,3,Alberta,in-migration,31566
1976,4,Alberta,in-migration,17987
1977,1,Alberta,in-migration,14667
1977,2,Alberta,in-migration,17112
1977,3,Alberta,in-migration,32660
1977,4,Alberta,in-migration,18404
1978,1,Alberta,in-migration,14801
1978,2,Alberta,in-migration,17405
1978,3,Alberta,in-migration,33749
1978,4,Alberta,in-migration,18995
1979,1,Alberta,in-migration,15314
1979,2,Alberta,in-migration,17999
1979,3,Alberta,in-migration,39881
1979,4,Alberta,in-migration,22156
1980,1,Alberta,in-migration,17734
1980,2,Alberta,in-migration,20939
1980,3,Alberta,in-migration,43621
1980,4,Alberta,in-migration,24058
1981,1,Alberta,in-migration,19119
1981,2,Alberta,in-migration,22585
1981,3,Alberta,in-migration,38091
1981,4,Alberta,in-migration,22611
1982,1,Alberta,in-migration,17728
1982,2,Alberta,in-migration,21616
1982,3,Alberta,in-migration,22881
1982,4,Alberta,in-migration,12489
1983,1,Alberta,in-migration,10226
1983,2,Alberta,in-migration,13785
1983,3,Alberta,in-migration,16928
1983,4,Alberta,in-migration,9393
1984,1,Alberta,in-migration,7781
1984,2,Alberta,in-migration,7024
1984,3,Alberta,in-migration,13448
1984,4,Alberta,in-migration,11685
1985,1,Alberta,in-migration,8882
1985,2,Alberta,in-migration,8893
1985,3,Alberta,in-migration,16532
1985,4,Alberta,in-migration,14490
1986,1,Alberta,in-migration,11081
1986,2,Alberta,in-migration,11928
1986,3,Alberta,in-migration,15908
1986,4,Alberta,in-migration,11762
1987,1,Alberta,in-migration,8831
1987,2,Alberta,in-migration,7603
1987,3,Alberta,in-migration,15036
1987,4,Alberta,in-migration,13568
1988,1,Alberta,in-migration,9460
1988,2,Alberta,in-migration,9472
1988,3,Alberta,in-migration,19108
1988,4,Alberta,in-migration,16020
1989,1,Alberta,in-migration,11447
1989,2,Alberta,in-migration,11482
1989,3,Alberta,in-migration,20985
1989,4,Alberta,in-migration,17515
1990,1,Alberta,in-migration,12527
1990,2,Alberta,in-migration,16840
1990,3,Alberta,in-migration,25082
1990,4,Alberta,in-migration,12108
1991,1,Alberta,in-migration,9840
1991,2,Alberta,in-migration,15475
1991,3,Alberta,in-migration,24308
1991,4,Alberta,in-migration,11200
1992,1,Alberta,in-migration,9537
1992,2,Alberta,in-migration,14602
1992,3,Alberta,in-migration,22497
1992,4,Alberta,in-migration,10382
1993,1,Alberta,in-migration,8804
1993,2,Alberta,in-migration,12386
1993,3,Alberta,in-migration,19182
1993,4,Alberta,in-migration,9305
1994,1,Alberta,in-migration,9654
1994,2,Alberta,in-migration,13622
1994,3,Alberta,in-migration,17143
1994,4,Alberta,in-migration,10577
1995,1,Alberta,in-migration,10210
1995,2,Alberta,in-migration,13317
1995,3,Alberta,in-migration,18130
1995,4,Alberta,in-migration,12140
1996,1,Alberta,in-migration,11481
1996,2,Alberta,in-migration,15286
1996,3,Alberta,in-migration,21022
1996,4,Alberta,in-migration,13416
1997,1,Alberta,in-migration,15282
1997,2,Alberta,in-migration,20613
1997,3,Alberta,in-migration,25161
1997,4,Alberta,in-migration,13406
1998,1,Alberta,in-migration,20591
1998,2,Alberta,in-migration,27149
1998,3,Alberta,in-migration,23051
1998,4,Alberta,in-migration,13495
1999,1,Alberta,in-migration,14693
1999,2,Alberta,in-migration,19693
1999,3,Alberta,in-migration,21712
1999,4,Alberta,in-migration,11862
2000,1,Alberta,in-migration,17065
2000,2,Alberta,in-migration,20082
2000,3,Alberta,in-migration,20600
2000,4,Alberta,in-migration,14032
2001,1,Alberta,in-migration,12964
2001,2,Alberta,in-migration,16533
2001,3,Alberta,in-migration,24589
2001,4,Alberta,in-migration,14486
2002,1,Alberta,in-migration,15210
2002,2,Alberta,in-migration,21330
2002,3,Alberta,in-migration,21704
2002,4,Alberta,in-migration,11639
2003,1,Alberta,in-migration,13290
2003,2,Alberta,in-migration,17994
2003,3,Alberta,in-migration,18578
2003,4,Alberta,in-migration,10693
2004,1,Alberta,in-migration,13863
2004,2,Alberta,in-migration,17688
2004,3,Alberta,in-migration,22917
2004,4,Alberta,in-migration,15045
2005,1,Alberta,in-migration,18653
2005,2,Alberta,in-migration,25803
